,id,name,genre,sub_genre,followers
124,3ipn9JLAPI5GUEo4y4jcoi,Ludacris,rap,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2380684
125,6FBDaR13swtiWwGhX1WQsP,blink-182,rock,"['pop punk', 'punk', 'rock', 'socal pop punk']",6974597
126,4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,pop,"['dance pop', 'pop', 'urban contemporary']",7775366
127,7cYEt1pqMgXJdq00hAwVpT,Chase Atlantic,pop,['pop'],2961121
128,1anyVhU62p31KFi8MEzkbf,Chance the Rapper,rap,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']",5639783
129,0jnsk9HBra6NMjO2oANoPY,Flo Rida,pop,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",8527766
130,2dIgFjalVxs4ThymZ67YCE,Stray Kids,pop,"['k-pop', 'k-pop boy group']",7958920
131,1r1uxoy19fzMxunt3ONAkG,Phoebe Bridgers,pop,"['indie pop', 'la indie']",1162092
132,2FXC3k01G6Gw61bmprjgqS,Hozier,pop,"['irish singer-songwriter', 'modern rock', 'pop']",5141635
133,77ziqFxp5gaInVrF2lj4ht,Sech,latin,"['latin', 'panamanian pop', 'reggaeton', 'trap latino']",10630345
134,1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,pop,"['dance pop', 'pop', 'pop rap']",6620151
135,4OBJLual30L7gRl5UkeRcT,T.I.,rap,"['atl hip hop', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",4189891
136,0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,pop,"['canadian pop', 'candy pop', 'dance pop', 'pop', 'post-teen pop']",8717394
137,2gBjLmx6zQnFGQJCAQpRgw,Nelly,rap,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'st louis rap', 'urban contemporary']",2119625
138,1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex,pop,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",3694735
139,0A0FS04o6zMoto8OKPsDwY,YG,rap,"['cali rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2837986
140,2kucQ9jQwuD8jWdtR9Ef38,Sam Hunt,pop,"['contemporary country', 'country pop']",2208282
141,5JZ7CnR6gTvEMKX4g70Amv,Lauv,pop,"['dance pop', 'electropop', 'pop']",5015300
142,7FBcuc1gsnv6Y1nwFtNRCb,My Chemical Romance,rock,"['emo', 'modern rock', 'pop punk', 'rock']",6804094
143,0NIPkIjTV8mB795yEIiPYL,Wallows,pop,"['indie pop', 'modern rock', 'pop']",2312308
144,1vCWHaC5f2uS3yhpwWbIA6,Avicii,edm,"['dance pop', 'edm', 'pop', 'pop dance']",21717324
145,5Y5TRrQiqgUO4S36tzjIRZ,Timbaland,pop,"['dance pop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'urban contemporary']",2251982
146,64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,edm,"['dance pop', 'edm', 'electropop', 'pop', 'post-teen pop']",7257761
147,3MdXrJWsbVzdn6fe5JYkSQ,Latto,pop,"['pop', 'r&b', 'trap queen']",781618
148,6cK3NBO6uP7hh0oyuVELFl,Saweetie,pop,"['cali rap', 'dance pop', 'pop', 'pop rap', 'r&b', 'trap queen']",1573412
149,7z5WFjZAIYejWy0NI5lv4T,Dan + Shay,pop,"['contemporary country', 'country', 'pop']",2621292
150,45eNHdiiabvmbp4erw26rg,ILLENIUM,edm,"['edm', 'melodic dubstep', 'pop', 'pop dance', 'tropical house']",1248090
151,1Hsdzj7Dlq2I7tHP7501T4,Niall Horan,pop,"['dance pop', 'pop', 'post-teen pop']",8481521
152,4IWBUUAFIplrNtaOHcJPRM,James Arthur,pop,"['pop', 'talent show', 'uk pop']",9733206
153,10exVja0key0uqUkk6LJRT,Vance Joy,pop,"['folk-pop', 'modern rock', 'pop', 'pop rock']",2607560
154,6CwfuxIqcltXDGjfZsMd9A,MARINA,pop,"['dance pop', 'electropop', 'metropopolis', 'pop', 'uk alternative pop']",3653622
155,7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,pop,"['boy band', 'dance pop', 'pop', 'post-teen pop']",6212680
156,2iojnBLj0qIMiKPvVhLnsH,Trey Songz,pop,"['dance pop', 'hip pop', 'pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",6559128
157,5y2Xq6xcjJb2jVM54GHK3t,John Legend,pop,"['neo soul', 'pop', 'pop soul', 'r&b', 'urban contemporary']",6172451
158,2qxJFvFYMEDqd7ui6kSAcq,Zedd,edm,"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'pop rap', 'tropical house']",5748703
159,6fWVd57NKTalqvmjRd2t8Z,24kGoldn,pop,"['cali rap', 'pop rap']",1684989
160,4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,pop,"['pop', 'uk pop']",9515890
161,67nwj3Y5sZQLl72VNUHEYE,Wale,pop,"['gangster rap', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",3625786
162,5IH6FPUwQTxPSXurCrcIov,Alec Benjamin,pop,"['alt z', 'dream smp', 'electropop', 'pop']",3477942
163,540vIaP2JwjQb9dm3aArA4,DJ Snake,edm,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']",7786388
164,4GvEc3ANtPPjt1ZJllr5Zl,Bazzi,pop,"['dance pop', 'electropop', 'pop']",5001733
165,4qXC0i02bSFstECuXP2ZpL,Blxst,pop,['pop rap'],289658
166,1l7ZsJRRS8wlW3WfJfPfNS,Christina Aguilera,pop,"['dance pop', 'pop', 'post-teen pop']",6912915
167,0GM7qgcRCORpGnfcN2tCiB,Tainy,latin,"['latin', 'latin hip hop', 'latin pop', 'pop reggaeton', 'reggaeton', 'trap latino']",885208
168,3Isy6kedDrgPYoTS1dazA9,Sean Paul,pop,"['dance pop', 'dancehall', 'pop', 'pop rap']",3867376
169,3ApUX1o6oSz321MMECyIYd,Quinn XCII,pop,"['electropop', 'indie pop rap', 'pop', 'pop rap']",697691
171,687cZJR45JO7jhk1LHIbgq,Tems,pop,"['afro r&b', 'alte', 'nigerian pop', 'r&b']",462617
172,0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,edm,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'uk pop']",10788880
173,7iZtZyCzp3LItcw1wtPI3D,Rae Sremmurd,pop,"['hip hop', 'melodic rap', 'mississippi hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",6857716
174,0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,pop,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']",4397780
175,3WGpXCj9YhhfX11TToZcXP,Troye Sivan,pop,"['australian pop', 'dance pop', 'electropop', 'pop', 'viral pop']",6737986
176,2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,pop,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'pop', 'post-teen pop']",10280065
177,6sCbFbEjbYepqswM1vWjjs,Zendaya,pop,"['dance pop', 'pop', 'post-teen pop']",3311014
178,3pc0bOVB5whxmD50W79wwO,keshi,pop,"['chill r&b', 'pop']",1625853
179,1moxjboGR7GNWYIMWsRjgG,Florence + The Machine,pop,"['baroque pop', 'pop', 'uk alternative pop']",5895195
180,6C1ohJrd5VydigQtaGy5Wa,Joyner Lucas,rap,"['boston hip hop', 'hip hop', 'pop rap', 'rap']",1909031
181,4ETSs924pXMzjIeD6E9b4u,Surfaces,pop,"['bedroom soul', 'pop']",832342
182,0ghlgldX5Dd6720Q3qFyQB,TOMORROW X TOGETHER,pop,"['k-pop', 'k-pop boy group']",6231985
183,0e86yPdC41PGRkLp2Q1Bph,Mother Mother,pop,"['indie pop', 'vancouver indie']",2747447
184,7HkdQ0gt53LP4zmHsL0nap,Ella Mai,pop,"['dance pop', 'pop', 'pop rap', 'r&b', 'uk contemporary r&b', 'urban contemporary']",4325490
185,5G9kmDLg3OeUyj8KVBLzbu,mike.,pop,"['indie pop rap', 'pop rap', 'rhode island rap']",498282
186,5ndkK3dpZLKtBklKjxNQwT,B.o.B,pop,"['atl hip hop', 'dance pop', 'hip hop', 'pop', 'pop rap', 'pop rock', 'rap', 'southern hip hop']",1969617
187,0Y6dVaC9DZtPNH4591M42W,TV Girl,pop,['indie pop'],822109
188,4yiQZ8tQPux8cPriYMWUFP,Gwen Stefani,pop,"['dance pop', 'hip pop', 'pop', 'post-teen pop', 'urban contemporary']",5332160
