,id,name,artist_id,artist,album_id,album,popularity,playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1512,35UUpTmrcFXNIVIN26ujXl,Relación - Remix,77ziqFxp5gaInVrF2lj4ht,Sech,2O985DZAb4i6M6iu4HWqSX,Relación (Remix),76,19,0.793,0.771,5,-3.417,1,0.0959,0.0337,1.51e-06,0.284,0.835,171.943,247308,4
1513,35UUpTmrcFXNIVIN26ujXl,Relación - Remix,77ziqFxp5gaInVrF2lj4ht,Sech,2O985DZAb4i6M6iu4HWqSX,Relación (Remix),76,19,0.793,0.771,5,-3.417,1,0.0959,0.0337,1.51e-06,0.284,0.835,171.943,247308,4
1514,7x4ASXYEKfQBCewcZhK776,"Ay, DiOs Mío!",790FomKkXshlbRYZFtlgla,KAROL G,1mMUBQXa70gHyUjK0Q0u63,"Ay, DiOs Mío!",71,16,0.718,0.712,11,-4.366,1,0.174,0.512,0.00121,0.104,0.531,180.034,189653,4
1515,7D7EH7MGyNHWSkqrszerI1,BEBÉ,28gNT5KBp7IjEOQoevXf9N,Camilo,0krfGu8Xf8xZGOeEcQUjai,BEBÉ,69,16,0.862,0.72,4,-4.048,1,0.0379,0.487,1.19e-06,0.0604,0.965,129.972,198707,4
1516,1zLBsSVxETQOfINOLYvT5m,GIRL LIKE ME,1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,0uxvuY8Ek2ojzHrWTg2PDc,TRANSLATION,75,16,0.965,0.485,2,-8.784,1,0.191,0.0206,0.0237,0.0655,0.312,124.025,222523,4
1517,4WkEH0PgystZUaN6QU6Z0B,Maldita Foto,7vXDAI8JwjW531ouMGbfcp,TINI,3Ka78dJC3Xm7UjN7IhCXG6,Maldita Foto,68,16,0.743,0.674,2,-4.201,1,0.129,0.15,0.0,0.0986,0.932,174.024,190345,4
1518,5y7DaS3jAc9eZzcSOoUIwU,Una Locura,1i8SpTcr7yvPOmcqrbnVXY,Ozuna,69iuPQsXel3luOSDNF0q2Q,Enoc,75,16,0.714,0.761,5,-4.596,0,0.0427,0.139,0.00035,0.241,0.906,168.022,230693,4
1519,5y7DaS3jAc9eZzcSOoUIwU,Una Locura,1i8SpTcr7yvPOmcqrbnVXY,Ozuna,69iuPQsXel3luOSDNF0q2Q,Enoc,75,16,0.714,0.761,5,-4.596,0,0.0427,0.139,0.00035,0.241,0.906,168.022,230693,4
1520,5y7DaS3jAc9eZzcSOoUIwU,Una Locura,1i8SpTcr7yvPOmcqrbnVXY,Ozuna,69iuPQsXel3luOSDNF0q2Q,Enoc,75,19,0.714,0.761,5,-4.596,0,0.0427,0.139,0.00035,0.241,0.906,168.022,230693,4
1521,5y7DaS3jAc9eZzcSOoUIwU,Una Locura,1i8SpTcr7yvPOmcqrbnVXY,Ozuna,69iuPQsXel3luOSDNF0q2Q,Enoc,75,19,0.714,0.761,5,-4.596,0,0.0427,0.139,0.00035,0.241,0.906,168.022,230693,4
1522,6GPBXtnSepHovJi1uD1Ggj,La Botella,14zUHaJZo1mnYtn6IBRaRP,Justin Quiles,4AHHM76jyqUiC1HRd37ZQQ,La Última Promesa,73,16,0.79,0.766,6,-3.497,0,0.111,0.324,0.0,0.0832,0.825,82.026,226010,4
1523,7AUhck1sPy11OExQmDDx4P,De Vuelta Pa' La Vuelta,4VMYDCV2IEDYJArk749S6m,Daddy Yankee,1mFvOlraT4JKt4D7aGb9tc,De Vuelta Pa' La Vuelta,69,16,0.665,0.94,5,-3.606,1,0.0553,0.434,0.0,0.0914,0.752,93.725,231593,4
1524,7AUhck1sPy11OExQmDDx4P,De Vuelta Pa' La Vuelta,4VMYDCV2IEDYJArk749S6m,Daddy Yankee,1mFvOlraT4JKt4D7aGb9tc,De Vuelta Pa' La Vuelta,69,16,0.665,0.94,5,-3.606,1,0.0553,0.434,0.0,0.0914,0.752,93.725,231593,4
1525,7AUhck1sPy11OExQmDDx4P,De Vuelta Pa' La Vuelta,4VMYDCV2IEDYJArk749S6m,Daddy Yankee,1mFvOlraT4JKt4D7aGb9tc,De Vuelta Pa' La Vuelta,69,19,0.665,0.94,5,-3.606,1,0.0553,0.434,0.0,0.0914,0.752,93.725,231593,4
