,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
799,Workout Music ,Lose You to Love Me (Remix),2Yrf2hhL6MDWNFCExPilWb,10,0.617,0.883,1,-4.536,0,0.0304,0.000362,0.49,0.0902,0.947,126.966,257013,4
800,BTS,ON,0fZRNhPJ4AGmwY7rkpdbqK,80,0.583,0.817,9,-5.146,0,0.099,0.118,0.0,0.338,0.437,105.935,246381,4
801,Christy Moore,The Cliffs Of Dooneen - Remastered 2020,1corzQOwIO9BLGttbDvJNd,12,0.404,0.385,2,-6.501,1,0.0299,0.566,0.0,0.367,0.292,109.936,180773,3
802,Saweetie,Tap In,4Hpib09wXgD84w4uwTPnYD,72,0.954,0.696,10,-7.117,0,0.204,0.00576,0.000498,0.0754,0.432,100.036,139413,4
803,The Cog is Dead,I Want Only You (Remastered 2020),0ba5HE0lAXUHIwb8ETK1aG,8,0.641,0.758,0,-4.734,1,0.0243,0.0437,0.0,0.0852,0.92,93.054,190981,4
804,Carin Leon,Tú,1nLs8r6K4YN0avBwUmmTnr,78,0.669,0.476,9,-6.635,0,0.0395,0.382,9.85e-06,0.21,0.905,143.826,246132,4
805,The Cog is Dead,A Letter to Michelle (Remastered 2020),1BrqAzQfvlyivjKXKuQ6Di,9,0.501,0.57,0,-7.089,1,0.0278,0.394,0.0,0.37,0.119,140.008,335386,4
806,Khalil?,Zodiac Killer,2BMffjr4KyshdbZz7UAC6w,70,0.876,0.267,8,-14.94,1,0.352,0.52,0.0,0.158,0.608,125.041,124390,4
807,The Cog is Dead,Steam Powered Stories (Intro) [Remastered 2020],2x2jSphQIWjjnXlqVM3a8E,9,0.319,0.837,0,-4.025,1,0.406,0.0829,1.75e-06,0.341,0.523,73.049,94720,4
808,Olivia O'Brien,Josslyn,37ZKB38iNyKJ0xYEz9SJgk,71,0.425,0.743,11,-5.54,0,0.148,0.012,0.0,0.709,0.344,84.748,189125,4
